case_id,reviewer_id,source_text_valid,language_valid,intent_valid,target_valid,conditions_valid,policy_valid,outcome_valid,claims_valid,notes
V2C-0000,R2,,,,,,,,,
V2C-0001,R2,,,,,,,,,
V2C-0002,R2,,,,,,,,,
V2C-0003,R2,,,,,,,,,
V2C-0004,R2,,,,,,,,,
V2C-0005,R2,,,,,,,,,
V2C-0006,R2,,,,,,,,,
V2C-0007,R2,,,,,,,,,
V2C-0008,R2,,,,,,,,,
V2C-0009,R2,,,,,,,,,
V2C-0010,R2,,,,,,,,,
V2C-0011,R2,,,,,,,,,
V2C-0012,R2,,,,,,,,,
V2C-0013,R2,,,,,,,,,
V2C-0014,R2,,,,,,,,,
V2C-0015,R2,,,,,,,,,
V2C-0016,R2,,,,,,,,,
V2C-0017,R2,,,,,,,,,
V2C-0018,R2,,,,,,,,,
V2C-0019,R2,,,,,,,,,
V2C-0020,R2,,,,,,,,,
V2C-0021,R2,,,,,,,,,
V2C-0022,R2,,,,,,,,,
V2C-0023,R2,,,,,,,,,
V2C-0024,R2,,,,,,,,,
V2C-0025,R2,,,,,,,,,
V2C-0026,R2,,,,,,,,,
V2C-0027,R2,,,,,,,,,
V2C-0028,R2,,,,,,,,,
V2C-0029,R2,,,,,,,,,
V2C-0030,R2,,,,,,,,,
V2C-0031,R2,,,,,,,,,
V2C-0032,R2,,,,,,,,,
V2C-0033,R2,,,,,,,,,
V2C-0034,R2,,,,,,,,,
V2C-0035,R2,,,,,,,,,
V2C-0036,R2,,,,,,,,,
V2C-0037,R2,,,,,,,,,
V2C-0038,R2,,,,,,,,,
V2C-0039,R2,,,,,,,,,
V2C-0040,R2,,,,,,,,,
V2C-0041,R2,,,,,,,,,
V2C-0042,R2,,,,,,,,,
V2C-0043,R2,,,,,,,,,
V2C-0044,R2,,,,,,,,,
V2C-0045,R2,,,,,,,,,
V2C-0046,R2,,,,,,,,,
V2C-0047,R2,,,,,,,,,
V2C-0048,R2,,,,,,,,,
