case_id,reviewer_id,source_text_valid,language_valid,intent_valid,target_valid,conditions_valid,policy_valid,outcome_valid,claims_valid,notes
V2C-0000,R1,,,,,,,,,
V2C-0001,R1,,,,,,,,,
V2C-0002,R1,,,,,,,,,
V2C-0003,R1,,,,,,,,,
V2C-0004,R1,,,,,,,,,
V2C-0005,R1,,,,,,,,,
V2C-0006,R1,,,,,,,,,
V2C-0007,R1,,,,,,,,,
V2C-0008,R1,,,,,,,,,
V2C-0009,R1,,,,,,,,,
V2C-0010,R1,,,,,,,,,
V2C-0011,R1,,,,,,,,,
V2C-0012,R1,,,,,,,,,
V2C-0013,R1,,,,,,,,,
V2C-0014,R1,,,,,,,,,
V2C-0015,R1,,,,,,,,,
V2C-0016,R1,,,,,,,,,
V2C-0017,R1,,,,,,,,,
V2C-0018,R1,,,,,,,,,
V2C-0019,R1,,,,,,,,,
V2C-0020,R1,,,,,,,,,
V2C-0021,R1,,,,,,,,,
V2C-0022,R1,,,,,,,,,
V2C-0023,R1,,,,,,,,,
V2C-0024,R1,,,,,,,,,
V2C-0025,R1,,,,,,,,,
V2C-0026,R1,,,,,,,,,
V2C-0027,R1,,,,,,,,,
V2C-0028,R1,,,,,,,,,
V2C-0029,R1,,,,,,,,,
V2C-0030,R1,,,,,,,,,
V2C-0031,R1,,,,,,,,,
V2C-0032,R1,,,,,,,,,
V2C-0033,R1,,,,,,,,,
V2C-0034,R1,,,,,,,,,
V2C-0035,R1,,,,,,,,,
V2C-0036,R1,,,,,,,,,
V2C-0037,R1,,,,,,,,,
V2C-0038,R1,,,,,,,,,
V2C-0039,R1,,,,,,,,,
V2C-0040,R1,,,,,,,,,
V2C-0041,R1,,,,,,,,,
V2C-0042,R1,,,,,,,,,
V2C-0043,R1,,,,,,,,,
V2C-0044,R1,,,,,,,,,
V2C-0045,R1,,,,,,,,,
V2C-0046,R1,,,,,,,,,
V2C-0047,R1,,,,,,,,,
V2C-0048,R1,,,,,,,,,
V2C-0049,R1,,,,,,,,,
V2C-0050,R1,,,,,,,,,
V2C-0051,R1,,,,,,,,,
V2C-0052,R1,,,,,,,,,
V2C-0053,R1,,,,,,,,,
V2C-0054,R1,,,,,,,,,
V2C-0055,R1,,,,,,,,,
V2C-0056,R1,,,,,,,,,
V2C-0057,R1,,,,,,,,,
V2C-0058,R1,,,,,,,,,
V2C-0059,R1,,,,,,,,,
V2C-0060,R1,,,,,,,,,
V2C-0061,R1,,,,,,,,,
V2C-0062,R1,,,,,,,,,
V2C-0063,R1,,,,,,,,,
V2C-0064,R1,,,,,,,,,
V2C-0065,R1,,,,,,,,,
V2C-0066,R1,,,,,,,,,
V2C-0067,R1,,,,,,,,,
V2C-0068,R1,,,,,,,,,
V2C-0069,R1,,,,,,,,,
V2C-0070,R1,,,,,,,,,
V2C-0071,R1,,,,,,,,,
V2C-0072,R1,,,,,,,,,
V2C-0073,R1,,,,,,,,,
V2C-0074,R1,,,,,,,,,
V2C-0075,R1,,,,,,,,,
V2C-0076,R1,,,,,,,,,
V2C-0077,R1,,,,,,,,,
V2C-0078,R1,,,,,,,,,
V2C-0079,R1,,,,,,,,,
