case_id,pipeline,model_invoked,input_tokens,output_tokens,peak_vram_mb
EXT-ADVERSARIAL-0002,C0_DIRECT_SLM,True,133,118,3179.647
EXT-ADVERSARIAL-0003,C0_DIRECT_SLM,True,155,128,3179.647
EXT-ADVERSARIAL-0005,C0_DIRECT_SLM,True,177,104,3179.647
EXT-ADVERSARIAL-0014,C0_DIRECT_SLM,True,133,33,3179.647
EXT-ADVERSARIAL-0015,C0_DIRECT_SLM,True,177,96,3179.647
EXT-ADVERSARIAL-0018,C0_DIRECT_SLM,True,136,76,3179.647
EXT-ADVERSARIAL-0021,C0_DIRECT_SLM,True,150,128,3179.647
EXT-ADVERSARIAL-0025,C0_DIRECT_SLM,True,174,128,3179.647
EXT-ADVERSARIAL-0026,C0_DIRECT_SLM,True,129,110,3141.018
EXT-ADVERSARIAL-0028,C0_DIRECT_SLM,True,133,32,3141.018
EXT-ADVERSARIAL-0029,C0_DIRECT_SLM,True,163,120,3141.018
EXT-ADVERSARIAL-0031,C0_DIRECT_SLM,True,148,92,3141.018
EXT-ADVERSARIAL-0032,C0_DIRECT_SLM,True,133,128,3141.018
EXT-ADVERSARIAL-0034,C0_DIRECT_SLM,True,137,126,3141.018
EXT-ADVERSARIAL-0039,C0_DIRECT_SLM,True,153,122,3141.018
EXT-ADVERSARIAL-0044,C0_DIRECT_SLM,True,133,33,3141.018
EXT-ADVERSARIAL-0050,C0_DIRECT_SLM,True,134,31,3149.643
EXT-ADVERSARIAL-0051,C0_DIRECT_SLM,True,148,128,3149.643
EXT-ADVERSARIAL-0056,C0_DIRECT_SLM,True,128,123,3149.643
EXT-ADVERSARIAL-0058,C0_DIRECT_SLM,True,137,106,3149.643
EXT-ADVERSARIAL-0061,C0_DIRECT_SLM,True,150,128,3149.643
EXT-ADVERSARIAL-0063,C0_DIRECT_SLM,True,155,128,3149.643
EXT-ADVERSARIAL-0071,C0_DIRECT_SLM,True,148,92,3149.643
EXT-ADVERSARIAL-0073,C0_DIRECT_SLM,True,167,128,3149.643
EXT-ADVERSARIAL-0076,C0_DIRECT_SLM,True,125,87,3179.647
EXT-ADVERSARIAL-0078,C0_DIRECT_SLM,True,134,69,3179.647
EXT-ADVERSARIAL-0082,C0_DIRECT_SLM,True,137,121,3179.647
EXT-ADVERSARIAL-0084,C0_DIRECT_SLM,True,136,128,3179.647
EXT-ADVERSARIAL-0085,C0_DIRECT_SLM,True,177,104,3179.647
EXT-ADVERSARIAL-0089,C0_DIRECT_SLM,True,163,120,3179.647
EXT-ADVERSARIAL-0093,C0_DIRECT_SLM,True,157,128,3179.647
EXT-ADVERSARIAL-0095,C0_DIRECT_SLM,True,177,96,3179.647
EXT-ADVERSARIAL-0097,C0_DIRECT_SLM,True,167,128,3149.643
EXT-ADVERSARIAL-0098,C0_DIRECT_SLM,True,133,118,3149.643
EXT-AMBIGUOUS-0003,C0_DIRECT_SLM,True,135,72,3149.643
EXT-AMBIGUOUS-0004,C0_DIRECT_SLM,True,115,109,3149.643
EXT-AMBIGUOUS-0014,C0_DIRECT_SLM,True,115,109,3149.643
EXT-AMBIGUOUS-0015,C0_DIRECT_SLM,True,135,72,3149.643
EXT-AMBIGUOUS-0024,C0_DIRECT_SLM,True,115,109,3149.643
EXT-AMBIGUOUS-0026,C0_DIRECT_SLM,True,115,109,3149.643
EXT-AMBIGUOUS-0028,C0_DIRECT_SLM,True,115,109,3001.627
EXT-AMBIGUOUS-0033,C0_DIRECT_SLM,True,135,72,3001.627
EXT-AMBIGUOUS-0035,C0_DIRECT_SLM,True,135,72,3001.627
EXT-AMBIGUOUS-0039,C0_DIRECT_SLM,True,135,72,3001.627
EXT-AMBIGUOUS-0041,C0_DIRECT_SLM,True,135,72,3001.627
EXT-AMBIGUOUS-0044,C0_DIRECT_SLM,True,115,109,3001.627
EXT-AMBIGUOUS-0049,C0_DIRECT_SLM,True,135,72,3001.627
EXT-AMBIGUOUS-0050,C0_DIRECT_SLM,True,115,109,3001.627
EXT-INVALID_ENTITY-0004,C0_DIRECT_SLM,True,133,102,3125.64
EXT-INVALID_ENTITY-0006,C0_DIRECT_SLM,True,123,31,3125.64
EXT-INVALID_ENTITY-0009,C0_DIRECT_SLM,True,142,128,3125.64
EXT-INVALID_ENTITY-0011,C0_DIRECT_SLM,True,135,128,3125.64
EXT-INVALID_ENTITY-0013,C0_DIRECT_SLM,True,159,127,3125.64
EXT-INVALID_ENTITY-0022,C0_DIRECT_SLM,True,131,36,3125.64
EXT-INVALID_ENTITY-0026,C0_DIRECT_SLM,True,125,31,3125.64
EXT-INVALID_ENTITY-0033,C0_DIRECT_SLM,True,142,128,3125.64
EXT-INVALID_ENTITY-0034,C0_DIRECT_SLM,True,133,102,3143.455
EXT-INVALID_ENTITY-0035,C0_DIRECT_SLM,True,164,16,3143.455
EXT-INVALID_ENTITY-0036,C0_DIRECT_SLM,True,122,30,3143.455
EXT-INVALID_ENTITY-0037,C0_DIRECT_SLM,True,159,25,3143.455
EXT-INVALID_ENTITY-0038,C0_DIRECT_SLM,True,128,93,3143.455
EXT-INVALID_ENTITY-0039,C0_DIRECT_SLM,True,142,128,3143.455
EXT-INVALID_ENTITY-0040,C0_DIRECT_SLM,True,131,106,3143.455
EXT-INVALID_ENTITY-0042,C0_DIRECT_SLM,True,132,31,3143.455
EXT-INVALID_ENTITY-0043,C0_DIRECT_SLM,True,157,128,3146.736
EXT-INVALID_ENTITY-0045,C0_DIRECT_SLM,True,166,31,3146.736
EXT-INVALID_ENTITY-0047,C0_DIRECT_SLM,True,156,126,3146.736
EXT-INVALID_ENTITY-0050,C0_DIRECT_SLM,True,131,128,3146.736
EXT-INVALID_ENTITY-0053,C0_DIRECT_SLM,True,157,128,3146.736
EXT-INVALID_ENTITY-0054,C0_DIRECT_SLM,True,132,128,3146.736
EXT-INVALID_ENTITY-0065,C0_DIRECT_SLM,True,163,16,3146.736
EXT-INVALID_ENTITY-0066,C0_DIRECT_SLM,True,125,31,3146.736
EXT-INVALID_ENTITY-0069,C0_DIRECT_SLM,True,142,128,3119.64
EXT-INVALID_ENTITY-0070,C0_DIRECT_SLM,True,129,25,3119.64
EXT-INVALID_ENTITY-0073,C0_DIRECT_SLM,True,156,128,3119.64
EXT-INVALID_ENTITY-0077,C0_DIRECT_SLM,True,157,128,3119.64
EXT-INVALID_ENTITY-0078,C0_DIRECT_SLM,True,131,82,3119.64
EXT-INVALID_ENTITY-0079,C0_DIRECT_SLM,True,156,114,3119.64
EXT-INVALID_ENTITY-0080,C0_DIRECT_SLM,True,131,106,3119.64
EXT-INVALID_ENTITY-0083,C0_DIRECT_SLM,True,154,128,3119.64
EXT-INVALID_ENTITY-0084,C0_DIRECT_SLM,True,132,32,3125.64
EXT-INVALID_ENTITY-0086,C0_DIRECT_SLM,True,123,31,3125.64
EXT-INVALID_ENTITY-0093,C0_DIRECT_SLM,True,145,128,3125.64
EXT-INVALID_ENTITY-0098,C0_DIRECT_SLM,True,130,128,3125.64
EXT-NUMERIC_PROVENANCE-0008,C0_DIRECT_SLM,True,128,33,3125.64
EXT-NUMERIC_PROVENANCE-0009,C0_DIRECT_SLM,True,141,128,3125.64
EXT-NUMERIC_PROVENANCE-0012,C0_DIRECT_SLM,True,129,128,3125.64
EXT-NUMERIC_PROVENANCE-0013,C0_DIRECT_SLM,True,159,120,3125.64
EXT-NUMERIC_PROVENANCE-0015,C0_DIRECT_SLM,True,165,47,3144.58
EXT-NUMERIC_PROVENANCE-0016,C0_DIRECT_SLM,True,124,32,3144.58
EXT-NUMERIC_PROVENANCE-0017,C0_DIRECT_SLM,True,152,128,3144.58
EXT-NUMERIC_PROVENANCE-0018,C0_DIRECT_SLM,True,132,96,3144.58
EXT-NUMERIC_PROVENANCE-0019,C0_DIRECT_SLM,True,155,107,3144.58
EXT-NUMERIC_PROVENANCE-0020,C0_DIRECT_SLM,True,128,30,3144.58
EXT-NUMERIC_PROVENANCE-0021,C0_DIRECT_SLM,True,138,128,3144.58
EXT-NUMERIC_PROVENANCE-0029,C0_DIRECT_SLM,True,152,128,3144.58
EXT-NUMERIC_PROVENANCE-0031,C0_DIRECT_SLM,True,136,110,3141.018
EXT-NUMERIC_PROVENANCE-0033,C0_DIRECT_SLM,True,141,128,3141.018
EXT-NUMERIC_PROVENANCE-0035,C0_DIRECT_SLM,True,163,107,3141.018
EXT-NUMERIC_PROVENANCE-0038,C0_DIRECT_SLM,True,127,93,3141.018
EXT-NUMERIC_PROVENANCE-0039,C0_DIRECT_SLM,True,141,128,3141.018
EXT-NUMERIC_PROVENANCE-0047,C0_DIRECT_SLM,True,155,128,3141.018
EXT-PAIR-0001-KO,C0_DIRECT_SLM,True,134,128,3141.018
EXT-PAIR-0004-EN,C0_DIRECT_SLM,True,133,65,3141.018
EXT-PAIR-0004-KO,C0_DIRECT_SLM,True,159,120,3125.64
EXT-PAIR-0007-EN,C0_DIRECT_SLM,True,130,35,3125.64
EXT-PAIR-0009-EN,C0_DIRECT_SLM,True,131,30,3125.64
EXT-PAIR-0010-EN,C0_DIRECT_SLM,True,128,30,3125.64
EXT-PAIR-0013-EN,C0_DIRECT_SLM,True,133,117,3125.64
EXT-PAIR-0013-KO,C0_DIRECT_SLM,True,159,120,3125.64
EXT-PAIR-0021-KO,C0_DIRECT_SLM,True,138,128,3125.64
EXT-PAIR-0026-EN,C0_DIRECT_SLM,True,122,33,3125.64
EXT-PAIR-0026-KO,C0_DIRECT_SLM,True,135,128,3144.58
EXT-PAIR-0027-KO,C0_DIRECT_SLM,True,144,128,3144.58
EXT-PAIR-0029-KO,C0_DIRECT_SLM,True,153,128,3144.58
EXT-PAIR-0030-EN,C0_DIRECT_SLM,True,131,128,3144.58
EXT-PAIR-0034-EN,C0_DIRECT_SLM,True,133,65,3144.58
EXT-PAIR-0035-KO,C0_DIRECT_SLM,True,165,47,3144.58
EXT-PAIR-0039-KO,C0_DIRECT_SLM,True,144,128,3144.58
EXT-PAIR-0040-EN,C0_DIRECT_SLM,True,129,25,3144.58
EXT-PAIR-0041-EN,C0_DIRECT_SLM,True,124,30,3125.64
EXT-PAIR-0043-KO,C0_DIRECT_SLM,True,159,63,3125.64
EXT-PAIR-0047-KO,C0_DIRECT_SLM,True,153,128,3125.64
EXT-PAIR-0048-EN,C0_DIRECT_SLM,True,129,31,3125.64
EXT-PAIR-0049-KO,C0_DIRECT_SLM,True,155,107,3125.64
EXT-PAIR-0055-EN,C0_DIRECT_SLM,True,128,128,3125.64
EXT-PAIR-0056-EN,C0_DIRECT_SLM,True,122,65,3125.64
EXT-PAIR-0063-KO,C0_DIRECT_SLM,True,141,128,3125.64
EXT-PAIR-0064-EN,C0_DIRECT_SLM,True,133,65,3143.455
EXT-PAIR-0072-EN,C0_DIRECT_SLM,True,130,33,3143.455
EXT-PAIR-0073-KO,C0_DIRECT_SLM,True,155,105,3143.455
EXT-PAIR-0078-KO,C0_DIRECT_SLM,True,145,128,3143.455
EXT-PAIR-0080-EN,C0_DIRECT_SLM,True,129,25,3143.455
EXT-PAIR-0080-KO,C0_DIRECT_SLM,True,164,33,3143.455
EXT-PAIR-0082-EN,C0_DIRECT_SLM,True,130,35,3143.455
EXT-PAIR-0083-KO,C0_DIRECT_SLM,True,156,128,3143.455
EXT-PAIR-0085-EN,C0_DIRECT_SLM,True,130,128,3080.634
EXT-PAIR-0088-EN,C0_DIRECT_SLM,True,130,128,3080.634
EXT-PAIR-0089-EN,C0_DIRECT_SLM,True,126,25,3080.634
EXT-PAIR-0091-EN,C0_DIRECT_SLM,True,125,32,3080.634
EXT-PAIR-0091-KO,C0_DIRECT_SLM,True,138,128,3080.634
EXT-PAIR-0094-EN,C0_DIRECT_SLM,True,133,65,3080.634
EXT-PAIR-0096-EN,C0_DIRECT_SLM,True,122,65,3080.634
EXT-PAIR-0099-KO,C0_DIRECT_SLM,True,144,128,3080.634
EXT-PAIR-0104-KO,C0_DIRECT_SLM,True,153,128,3144.58
EXT-PAIR-0109-KO,C0_DIRECT_SLM,True,155,107,3144.58
EXT-PAIR-0115-KO,C0_DIRECT_SLM,True,165,47,3144.58
EXT-PAIR-0116-KO,C0_DIRECT_SLM,True,137,128,3144.58
EXT-PAIR-0117-EN,C0_DIRECT_SLM,True,131,31,3144.58
EXT-PAIR-0121-EN,C0_DIRECT_SLM,True,121,32,3144.58
EXT-PAIR-0128-KO,C0_DIRECT_SLM,True,153,128,3144.58
EXT-PAIR-0136-KO,C0_DIRECT_SLM,True,135,59,3144.58
EXT-PAIR-0140-EN,C0_DIRECT_SLM,True,131,128,3146.736
EXT-PAIR-0140-KO,C0_DIRECT_SLM,True,166,128,3146.736
EXT-PAIR-0143-EN,C0_DIRECT_SLM,True,125,27,3146.736
EXT-PAIR-0144-EN,C0_DIRECT_SLM,True,132,128,3146.736
EXT-PAIR-0146-EN,C0_DIRECT_SLM,True,122,33,3146.736
EXT-PAIR-0148-EN,C0_DIRECT_SLM,True,132,128,3146.736
EXT-PAIR-0148-KO,C0_DIRECT_SLM,True,158,29,3146.736
EXT-PAIR-0149-KO,C0_DIRECT_SLM,True,153,128,3146.736
EXT-PAIR-0150-KO,C0_DIRECT_SLM,True,166,31,3146.736
EXT-PAIR-0152-KO,C0_DIRECT_SLM,True,154,128,3146.736
EXT-PAIR-0154-KO,C0_DIRECT_SLM,True,159,120,3146.736
EXT-PAIR-0157-KO,C0_DIRECT_SLM,True,158,128,3146.736
EXT-PAIR-0159-EN,C0_DIRECT_SLM,True,131,30,3146.736
EXT-PAIR-0161-EN,C0_DIRECT_SLM,True,124,30,3146.736
EXT-PAIR-0162-EN,C0_DIRECT_SLM,True,129,128,3146.736
EXT-PAIR-0166-EN,C0_DIRECT_SLM,True,125,32,3146.736
EXT-PAIR-0166-KO,C0_DIRECT_SLM,True,138,30,3125.64
EXT-PAIR-0167-EN,C0_DIRECT_SLM,True,126,26,3125.64
EXT-PAIR-0169-EN,C0_DIRECT_SLM,True,129,34,3125.64
EXT-PAIR-0170-EN,C0_DIRECT_SLM,True,128,30,3125.64
EXT-PAIR-0174-KO,C0_DIRECT_SLM,True,145,128,3125.64
EXT-PAIR-0175-EN,C0_DIRECT_SLM,True,128,128,3125.64
EXT-PAIR-0179-EN,C0_DIRECT_SLM,True,126,25,3125.64
EXT-PAIR-0184-KO,C0_DIRECT_SLM,True,159,120,3125.64
EXT-PAIR-0191-EN,C0_DIRECT_SLM,True,121,26,3144.58
EXT-PAIR-0191-KO,C0_DIRECT_SLM,True,134,121,3144.58
EXT-PAIR-0193-EN,C0_DIRECT_SLM,True,129,100,3144.58
EXT-PAIR-0194-EN,C0_DIRECT_SLM,True,126,94,3144.58
EXT-PAIR-0194-KO,C0_DIRECT_SLM,True,153,128,3144.58
EXT-PAIR-0195-EN,C0_DIRECT_SLM,True,130,128,3144.58
EXT-PAIR-0195-KO,C0_DIRECT_SLM,True,165,47,3144.58
EXT-PARAPHRASE-0003,C0_DIRECT_SLM,True,143,128,3144.58
EXT-PARAPHRASE-0004,C0_DIRECT_SLM,True,133,65,3144.58
EXT-PARAPHRASE-0005,C0_DIRECT_SLM,True,165,128,3144.58
EXT-PARAPHRASE-0020,C0_DIRECT_SLM,True,128,30,3144.58
EXT-PARAPHRASE-0026,C0_DIRECT_SLM,True,125,31,3144.58
EXT-PARAPHRASE-0028,C0_DIRECT_SLM,True,129,33,3144.58
EXT-PARAPHRASE-0030,C0_DIRECT_SLM,True,129,25,3144.58
EXT-PARAPHRASE-0034,C0_DIRECT_SLM,True,133,65,3144.58
EXT-PARAPHRASE-0039,C0_DIRECT_SLM,True,141,128,3144.58
EXT-PARAPHRASE-0069,C0_DIRECT_SLM,True,141,128,3113.64
EXT-PARAPHRASE-0076,C0_DIRECT_SLM,True,121,128,3113.64
EXT-PARAPHRASE-0080,C0_DIRECT_SLM,True,131,128,3113.64
EXT-PARAPHRASE-0091,C0_DIRECT_SLM,True,136,128,3113.64
EXT-PARAPHRASE-0097,C0_DIRECT_SLM,True,155,128,3113.64
EXT-PARAPHRASE-0101,C0_DIRECT_SLM,True,138,128,3113.64
EXT-PARAPHRASE-0114,C0_DIRECT_SLM,True,132,34,3113.64
EXT-PARAPHRASE-0121,C0_DIRECT_SLM,True,134,128,3113.64
EXT-PARAPHRASE-0150,C0_DIRECT_SLM,True,129,25,3071.634
EXT-PARAPHRASE-0154,C0_DIRECT_SLM,True,133,65,3071.634
EXT-PARAPHRASE-0158,C0_DIRECT_SLM,True,127,93,3071.634
EXT-PARAPHRASE-0159,C0_DIRECT_SLM,True,141,128,3071.634
EXT-PARAPHRASE-0162,C0_DIRECT_SLM,True,132,32,3071.634
EXT-PARAPHRASE-0166,C0_DIRECT_SLM,True,123,128,3071.634
EXT-PARAPHRASE-0172,C0_DIRECT_SLM,True,130,35,3071.634
EXT-PARAPHRASE-0176,C0_DIRECT_SLM,True,124,32,3071.634
EXT-PARAPHRASE-0183,C0_DIRECT_SLM,True,143,128,3242.967
EXT-PARAPHRASE-0191,C0_DIRECT_SLM,True,136,97,3242.967
EXT-PARAPHRASE-0194,C0_DIRECT_SLM,True,129,33,3242.967
EXT-PARAPHRASE-0197,C0_DIRECT_SLM,True,156,128,3242.967
EXT-POLICY_CONFLICT-0001,C0_DIRECT_SLM,True,165,128,3242.967
EXT-POLICY_CONFLICT-0010,C0_DIRECT_SLM,True,137,128,3242.967
EXT-POLICY_CONFLICT-0012,C0_DIRECT_SLM,True,134,26,3242.967
EXT-POLICY_CONFLICT-0015,C0_DIRECT_SLM,True,196,128,3242.967
EXT-POLICY_CONFLICT-0017,C0_DIRECT_SLM,True,183,128,3212.651
EXT-POLICY_CONFLICT-0019,C0_DIRECT_SLM,True,186,125,3212.651
EXT-POLICY_CONFLICT-0022,C0_DIRECT_SLM,True,137,37,3212.651
EXT-POLICY_CONFLICT-0027,C0_DIRECT_SLM,True,173,114,3212.651
EXT-POLICY_CONFLICT-0030,C0_DIRECT_SLM,True,135,128,3212.651
EXT-POLICY_CONFLICT-0034,C0_DIRECT_SLM,True,139,26,3212.651
EXT-POLICY_CONFLICT-0043,C0_DIRECT_SLM,True,188,128,3212.651
EXT-POLICY_CONFLICT-0044,C0_DIRECT_SLM,True,134,33,3212.651
EXT-POLICY_CONFLICT-0055,C0_DIRECT_SLM,True,196,128,3242.967
EXT-POLICY_CONFLICT-0056,C0_DIRECT_SLM,True,130,29,3242.967
EXT-POLICY_CONFLICT-0057,C0_DIRECT_SLM,True,172,128,3242.967
EXT-POLICY_CONFLICT-0060,C0_DIRECT_SLM,True,134,128,3242.967
EXT-POLICY_CONFLICT-0061,C0_DIRECT_SLM,True,169,128,3242.967
EXT-POLICY_CONFLICT-0062,C0_DIRECT_SLM,True,132,23,3242.967
EXT-POLICY_CONFLICT-0065,C0_DIRECT_SLM,True,193,128,3242.967
EXT-POLICY_CONFLICT-0066,C0_DIRECT_SLM,True,131,30,3242.967
EXT-POLICY_CONFLICT-0071,C0_DIRECT_SLM,True,167,128,3240.061
EXT-POLICY_CONFLICT-0073,C0_DIRECT_SLM,True,186,127,3240.061
EXT-POLICY_CONFLICT-0075,C0_DIRECT_SLM,True,194,128,3240.061
EXT-POLICY_CONFLICT-0080,C0_DIRECT_SLM,True,137,128,3240.061
EXT-POLICY_CONFLICT-0081,C0_DIRECT_SLM,True,165,128,3240.061
EXT-POLICY_CONFLICT-0086,C0_DIRECT_SLM,True,129,27,3240.061
EXT-POLICY_CONFLICT-0091,C0_DIRECT_SLM,True,167,128,3240.061
EXT-POLICY_CONFLICT-0094,C0_DIRECT_SLM,True,139,26,3240.061
EXT-POLICY_CONFLICT-0095,C0_DIRECT_SLM,True,196,128,3242.967
EXT-POLICY_CONFLICT-0098,C0_DIRECT_SLM,True,134,25,3242.967
EXT-POLICY_CONFLICT-0099,C0_DIRECT_SLM,True,172,128,3242.967
EXT-POLICY_CONFLICT-0100,C0_DIRECT_SLM,True,134,128,3242.967
SEC3B-000-EN,C0_DIRECT_SLM,True,127,31,3242.967
SEC3B-000-KO,C0_DIRECT_SLM,True,155,128,3242.967
SEC3B-001-KO,C0_DIRECT_SLM,True,155,128,3242.967
SEC3B-002-EN,C0_DIRECT_SLM,True,130,19,3242.967
SEC3B-005-EN,C0_DIRECT_SLM,True,130,128,3122.64
SEC3B-005-KO,C0_DIRECT_SLM,True,158,128,3122.64
SEC3B-009-KO,C0_DIRECT_SLM,True,155,128,3122.64
SEC3B-010-EN,C0_DIRECT_SLM,True,130,128,3122.64
SEC3B-012-EN,C0_DIRECT_SLM,True,130,99,3122.64
SEC3B-012-KO,C0_DIRECT_SLM,True,158,31,3122.64
SEC3B-013-EN,C0_DIRECT_SLM,True,130,32,3122.64
SEC3B-014-KO,C0_DIRECT_SLM,True,156,128,3122.64
SEC3B-015-EN,C0_DIRECT_SLM,True,128,30,3119.64
SEC3B-016-EN,C0_DIRECT_SLM,True,126,128,3119.64
SEC3B-016-KO,C0_DIRECT_SLM,True,154,128,3119.64
SEC3B-018-EN,C0_DIRECT_SLM,True,129,39,3119.64
SEC3B-020-EN,C0_DIRECT_SLM,True,129,93,3119.64
SEC3B-020-KO,C0_DIRECT_SLM,True,157,128,3119.64
SEC3B-021-KO,C0_DIRECT_SLM,True,157,128,3119.64
SEC3B-023-EN,C0_DIRECT_SLM,True,127,32,3119.64
SEC3B-025-EN,C0_DIRECT_SLM,True,127,28,3122.64
SEC3B-025-KO,C0_DIRECT_SLM,True,155,32,3122.64
SEC3B-026-EN,C0_DIRECT_SLM,True,130,38,3122.64
SEC3B-028-KO,C0_DIRECT_SLM,True,158,128,3122.64
SEC3B-030-EN,C0_DIRECT_SLM,True,126,128,3122.64
SEC3B-030-KO,C0_DIRECT_SLM,True,154,128,3122.64
SEC3B-031-EN,C0_DIRECT_SLM,True,126,128,3122.64
SEC3B-032-EN,C0_DIRECT_SLM,True,129,128,3122.64
SEC3B-032-KO,C0_DIRECT_SLM,True,157,128,3125.64
SEC3B-034-EN,C0_DIRECT_SLM,True,129,34,3125.64
SEC3B-037-KO,C0_DIRECT_SLM,True,155,128,3125.64
SEC3B-038-KO,C0_DIRECT_SLM,True,156,119,3125.64
SEC3B-039-EN,C0_DIRECT_SLM,True,128,63,3125.64
SEC3B-040-KO,C0_DIRECT_SLM,True,159,36,3125.64
SEC3B-043-EN,C0_DIRECT_SLM,True,131,128,3125.64
SEC3B-043-KO,C0_DIRECT_SLM,True,159,128,3125.64
SEC3B-044-KO,C0_DIRECT_SLM,True,157,128,3119.64
SEC3B-045-EN,C0_DIRECT_SLM,True,129,34,3119.64
SEC3B-048-KO,C0_DIRECT_SLM,True,157,128,3119.64
SEC3B-050-EN,C0_DIRECT_SLM,True,129,39,3119.64
SEC3B-051-KO,C0_DIRECT_SLM,True,157,27,3119.64
SEC3B-052-EN,C0_DIRECT_SLM,True,127,83,3119.64
SEC3B-053-EN,C0_DIRECT_SLM,True,127,87,3119.64
SEC3B-054-KO,C0_DIRECT_SLM,True,154,26,3119.64
SEC3B-059-EN,C0_DIRECT_SLM,True,129,31,3122.64
SEC3B-060-EN,C0_DIRECT_SLM,True,127,128,3122.64
SEC3B-061-EN,C0_DIRECT_SLM,True,127,128,3122.64
SEC3B-069-KO,C0_DIRECT_SLM,True,155,32,3122.64
SEC3B-071-EN,C0_DIRECT_SLM,True,130,34,3122.64
SEC3B-072-EN,C0_DIRECT_SLM,True,130,35,3122.64
SEC3B-073-KO,C0_DIRECT_SLM,True,158,35,3122.64
SEC3B-076-EN,C0_DIRECT_SLM,True,126,30,3122.64
