case_id,pipeline,end_ns,end_to_end_ms,model_batch_id,model_batch_size,model_ms,policy_ms,retrieval_ms,start_ns,validation_ms
EXT-ADVERSARIAL-0002,C0_DIRECT_SLM,10933890661486,13300.587114999998,batch-000000,8,13300.518159,0.0,0.014231,10920590143327,0.054725
EXT-ADVERSARIAL-0003,C0_DIRECT_SLM,10933890661486,13300.541709,batch-000000,8,13300.518159,0.0,0.005062,10920590143327,0.018488
EXT-ADVERSARIAL-0005,C0_DIRECT_SLM,10933890661486,13300.528237999999,batch-000000,8,13300.518159,0.0,0.00368,10920590143327,0.006399
EXT-ADVERSARIAL-0014,C0_DIRECT_SLM,10933890661486,13300.523093999998,batch-000000,8,13300.518159,0.0,0.001846,10920590143327,0.003089
EXT-ADVERSARIAL-0015,C0_DIRECT_SLM,10933890661486,13300.525306,batch-000000,8,13300.518159,0.0,0.001936,10920590143327,0.005211
EXT-ADVERSARIAL-0018,C0_DIRECT_SLM,10933890661486,13300.532016,batch-000000,8,13300.518159,0.0,0.002699,10920590143327,0.011158
EXT-ADVERSARIAL-0021,C0_DIRECT_SLM,10933890661486,13300.53114,batch-000000,8,13300.518159,0.0,0.002024,10920590143327,0.010957
EXT-ADVERSARIAL-0025,C0_DIRECT_SLM,10933890661486,13300.529935999999,batch-000000,8,13300.518159,0.0,0.002003,10920590143327,0.009774
EXT-ADVERSARIAL-0026,C0_DIRECT_SLM,10945139024556,11248.117993,batch-000001,8,11248.110367,0.0,0.002028,10933890914189,0.005598
EXT-ADVERSARIAL-0028,C0_DIRECT_SLM,10945139024556,11248.114784,batch-000001,8,11248.110367,0.0,0.001759,10933890914189,0.002658
EXT-ADVERSARIAL-0029,C0_DIRECT_SLM,10945139024556,11248.121879,batch-000001,8,11248.110367,0.0,0.00184,10933890914189,0.009672
EXT-ADVERSARIAL-0031,C0_DIRECT_SLM,10945139024556,11248.116452999999,batch-000001,8,11248.110367,0.0,0.001983,10933890914189,0.004103
EXT-ADVERSARIAL-0032,C0_DIRECT_SLM,10945139024556,11248.11757,batch-000001,8,11248.110367,0.0,0.001731,10933890914189,0.005472
EXT-ADVERSARIAL-0034,C0_DIRECT_SLM,10945139024556,11248.119958,batch-000001,8,11248.110367,0.0,0.001443,10933890914189,0.008148
EXT-ADVERSARIAL-0039,C0_DIRECT_SLM,10945139024556,11248.120434999999,batch-000001,8,11248.110367,0.0,0.002052,10933890914189,0.008016
EXT-ADVERSARIAL-0044,C0_DIRECT_SLM,10945139024556,11248.114148999999,batch-000001,8,11248.110367,0.0,0.001549,10933890914189,0.002233
EXT-ADVERSARIAL-0050,C0_DIRECT_SLM,10956532795192,11393.490173,batch-000002,8,11393.485783,0.0,0.00212,10945139309409,0.00227
EXT-ADVERSARIAL-0051,C0_DIRECT_SLM,10956532795192,11393.496071,batch-000002,8,11393.485783,0.0,0.001811,10945139309409,0.008477
EXT-ADVERSARIAL-0056,C0_DIRECT_SLM,10956532795192,11393.495640000001,batch-000002,8,11393.485783,0.0,0.001264,10945139309409,0.008593
EXT-ADVERSARIAL-0058,C0_DIRECT_SLM,10956532795192,11393.492387,batch-000002,8,11393.485783,0.0,0.001251,10945139309409,0.005353
EXT-ADVERSARIAL-0061,C0_DIRECT_SLM,10956532795192,11393.495458,batch-000002,8,11393.485783,0.0,0.001648,10945139309409,0.008027
EXT-ADVERSARIAL-0063,C0_DIRECT_SLM,10956532795192,11393.494830000001,batch-000002,8,11393.485783,0.0,0.001405,10945139309409,0.007642
EXT-ADVERSARIAL-0071,C0_DIRECT_SLM,10956532795192,11393.491313,batch-000002,8,11393.485783,0.0,0.001558,10945139309409,0.003972
EXT-ADVERSARIAL-0073,C0_DIRECT_SLM,10956532795192,11393.495789999999,batch-000002,8,11393.485783,0.0,0.002035,10945139309409,0.007972
EXT-ADVERSARIAL-0076,C0_DIRECT_SLM,10967824945577,11291.93738,batch-000003,8,11291.930312,0.0,0.001353,10956533015265,0.005715
EXT-ADVERSARIAL-0078,C0_DIRECT_SLM,10967824945577,11291.93714,batch-000003,8,11291.930312,0.0,0.001312,10956533015265,0.005516
EXT-ADVERSARIAL-0082,C0_DIRECT_SLM,10967824945577,11291.940231,batch-000003,8,11291.930312,0.0,0.00158,10956533015265,0.008339
EXT-ADVERSARIAL-0084,C0_DIRECT_SLM,10967824945577,11291.937131,batch-000003,8,11291.930312,0.0,0.001499,10956533015265,0.00532
EXT-ADVERSARIAL-0085,C0_DIRECT_SLM,10967824945577,11291.935559000001,batch-000003,8,11291.930312,0.0,0.001581,10956533015265,0.003666
EXT-ADVERSARIAL-0089,C0_DIRECT_SLM,10967824945577,11291.940005,batch-000003,8,11291.930312,0.0,0.001588,10956533015265,0.008105
EXT-ADVERSARIAL-0093,C0_DIRECT_SLM,10967824945577,11291.94054,batch-000003,8,11291.930312,0.0,0.002625,10956533015265,0.007603
EXT-ADVERSARIAL-0095,C0_DIRECT_SLM,10967824945577,11291.935973000001,batch-000003,8,11291.930312,0.0,0.00164,10956533015265,0.004021
EXT-ADVERSARIAL-0097,C0_DIRECT_SLM,10979107935429,11282.781642999998,batch-000004,8,11282.771705,0.0,0.00174,10967825163724,0.008198
EXT-ADVERSARIAL-0098,C0_DIRECT_SLM,10979107935429,11282.784394,batch-000004,8,11282.771705,0.0,0.007433,10967825163724,0.005256
EXT-AMBIGUOUS-0003,C0_DIRECT_SLM,10979107935429,11282.779639999999,batch-000004,8,11282.771705,0.0,0.002292,10967825163724,0.005643
EXT-AMBIGUOUS-0004,C0_DIRECT_SLM,10979107935429,11282.778547,batch-000004,8,11282.771705,0.0,0.001651,10967825163724,0.005191
EXT-AMBIGUOUS-0014,C0_DIRECT_SLM,10979107935429,11282.778403999999,batch-000004,8,11282.771705,0.0,0.001509,10967825163724,0.00519
EXT-AMBIGUOUS-0015,C0_DIRECT_SLM,10979107935429,11282.778773,batch-000004,8,11282.771705,0.0,0.001688,10967825163724,0.00538
EXT-AMBIGUOUS-0024,C0_DIRECT_SLM,10979107935429,11282.778006999999,batch-000004,8,11282.771705,0.0,0.001245,10967825163724,0.005057
EXT-AMBIGUOUS-0026,C0_DIRECT_SLM,10979107935429,11282.777904999999,batch-000004,8,11282.771705,0.0,0.001125,10967825163724,0.005075
EXT-AMBIGUOUS-0028,C0_DIRECT_SLM,10988612683212,9504.534023,batch-000005,8,9504.527232,0.0,0.001198,10979108155980,0.005593
EXT-AMBIGUOUS-0033,C0_DIRECT_SLM,10988612683212,9504.533792,batch-000005,8,9504.527232,0.0,0.001574,10979108155980,0.004986
EXT-AMBIGUOUS-0035,C0_DIRECT_SLM,10988612683212,9504.533503,batch-000005,8,9504.527232,0.0,0.001461,10979108155980,0.00481
EXT-AMBIGUOUS-0039,C0_DIRECT_SLM,10988612683212,9504.533858,batch-000005,8,9504.527232,0.0,0.001775,10979108155980,0.004851
EXT-AMBIGUOUS-0041,C0_DIRECT_SLM,10988612683212,9504.533761,batch-000005,8,9504.527232,0.0,0.001505,10979108155980,0.005024
EXT-AMBIGUOUS-0044,C0_DIRECT_SLM,10988612683212,9504.533560000002,batch-000005,8,9504.527232,0.0,0.00128,10979108155980,0.005048
EXT-AMBIGUOUS-0049,C0_DIRECT_SLM,10988612683212,9504.533611,batch-000005,8,9504.527232,0.0,0.001684,10979108155980,0.004695
EXT-AMBIGUOUS-0050,C0_DIRECT_SLM,10988612683212,9504.533569000001,batch-000005,8,9504.527232,0.0,0.00151,10979108155980,0.004827
EXT-INVALID_ENTITY-0004,C0_DIRECT_SLM,10999914864989,11301.968152999998,batch-000006,8,11301.961886,0.0,0.001389,10988612903103,0.004878
EXT-INVALID_ENTITY-0006,C0_DIRECT_SLM,10999914864989,11301.96608,batch-000006,8,11301.961886,0.0,0.002082,10988612903103,0.002112
EXT-INVALID_ENTITY-0009,C0_DIRECT_SLM,10999914864989,11301.971470999999,batch-000006,8,11301.961886,0.0,0.00164,10988612903103,0.007945
EXT-INVALID_ENTITY-0011,C0_DIRECT_SLM,10999914864989,11301.97135,batch-000006,8,11301.961886,0.0,0.001897,10988612903103,0.007567
EXT-INVALID_ENTITY-0013,C0_DIRECT_SLM,10999914864989,11301.971324999999,batch-000006,8,11301.961886,0.0,0.001907,10988612903103,0.007532
EXT-INVALID_ENTITY-0022,C0_DIRECT_SLM,10999914864989,11301.965592999999,batch-000006,8,11301.961886,0.0,0.001557,10988612903103,0.00215
EXT-INVALID_ENTITY-0026,C0_DIRECT_SLM,10999914864989,11301.965508,batch-000006,8,11301.961886,0.0,0.00141,10988612903103,0.002212
EXT-INVALID_ENTITY-0033,C0_DIRECT_SLM,10999914864989,11301.972491999999,batch-000006,8,11301.961886,0.0,0.003009,10988612903103,0.007597
EXT-INVALID_ENTITY-0034,C0_DIRECT_SLM,11011377124951,11462.031579,batch-000007,8,11462.025182,0.0,0.001521,10999915099769,0.004876
EXT-INVALID_ENTITY-0035,C0_DIRECT_SLM,11011377124951,11462.029601999999,batch-000007,8,11462.025182,0.0,0.002024,10999915099769,0.002396
EXT-INVALID_ENTITY-0036,C0_DIRECT_SLM,11011377124951,11462.028644999999,batch-000007,8,11462.025182,0.0,0.001298,10999915099769,0.002165
EXT-INVALID_ENTITY-0037,C0_DIRECT_SLM,11011377124951,11462.028843,batch-000007,8,11462.025182,0.0,0.001496,10999915099769,0.002165
